"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2023,"10010",2,3,"divendres", 10726
2023,"10010",2,4,"dissabte", 7953
2023,"10010",2,5,"diumenge", 5836
2023,"10010",3,1,"dilluns", 10089
2023,"10010",3,2,"laborables", 10605
2023,"10010",3,3,"divendres", 10530
2023,"10010",3,4,"dissabte", 8030
2023,"10010",3,5,"diumenge", 6090
2023,"10010",4,1,"dilluns", 9318
2023,"10010",4,2,"laborables", 9906
2023,"10010",4,3,"divendres", 10341
2023,"10010",4,4,"dissabte", 7240
2023,"10010",4,5,"diumenge", 5148
2023,"10010",5,1,"dilluns", 9665
2023,"10010",5,2,"laborables", 10205
2023,"10010",5,3,"divendres", 10349
2023,"10010",5,4,"dissabte", 7490
2023,"10010",5,5,"diumenge", 5925
2023,"10010",6,1,"dilluns", 9979
2023,"10010",6,2,"laborables", 10333
2023,"10010",6,3,"divendres", 10352
2023,"10010",6,4,"dissabte", 7390
2023,"10010",6,5,"diumenge", 5467
2023,"10010",7,1,"dilluns", 9875
2023,"10010",7,2,"laborables", 10431
2023,"10010",7,3,"divendres", 10347
2023,"10010",7,4,"dissabte", 7260
2023,"10010",7,5,"diumenge", 5598
2023,"10010",8,1,"dilluns", 7218
2023,"10010",8,2,"laborables", 7363
2023,"10010",8,3,"divendres", 7273
2023,"10010",8,4,"dissabte", 5201
2023,"10010",8,5,"diumenge", 4050
2023,"10010",9,1,"dilluns", 9018
2023,"10010",9,2,"laborables", 9895
2023,"10010",9,3,"divendres", 9614
2023,"10010",9,4,"dissabte", 6811
2023,"10010",9,5,"diumenge", 4912
2023,"10010",10,1,"dilluns", 9424
2023,"10010",10,2,"laborables", 10038
2023,"10010",10,3,"divendres", 9386
2023,"10010",10,4,"dissabte", 7112
2023,"10010",10,5,"diumenge", 5420
2023,"10010",11,1,"dilluns", 9757
2023,"10010",11,2,"laborables", 9874
2023,"10010",11,3,"divendres", 9944
2023,"10010",11,4,"dissabte", 7664
2023,"10010",11,5,"diumenge", 5788
2023,"10010",12,1,"dilluns", 10018
2023,"10010",12,2,"laborables", 9132
2023,"10010",12,3,"divendres", 8944
2023,"10010",12,4,"dissabte", 7019
2023,"10010",12,5,"diumenge", 5315
2023,"10011",1,1,"dilluns", 2763
2023,"10011",1,2,"laborables", 2833
2023,"10011",1,3,"divendres", 2990
2023,"10011",1,4,"dissabte", 2073
2023,"10011",1,5,"diumenge", 1471
2023,"10011",2,1,"dilluns", 2787
2023,"10011",2,2,"laborables", 2937
2023,"10011",2,3,"divendres", 2933
2023,"10011",2,4,"dissabte", 2037
2023,"10011",2,5,"diumenge", 1374
2023,"10011",3,1,"dilluns", 2783
2023,"10011",3,2,"laborables", 2937
2023,"10011",3,3,"divendres", 3075
2023,"10011",3,4,"dissabte", 2114
2023,"10011",3,5,"diumenge", 1490
2023,"10011",4,1,"dilluns", 2805
2023,"10011",4,2,"laborables", 2922
2023,"10011",4,3,"divendres", 3246
2023,"10011",4,4,"dissabte", 2113
2023,"10011",4,5,"diumenge", 1418
2023,"10011",5,1,"dilluns", 3045
2023,"10011",5,2,"laborables", 3124
2023,"10011",5,3,"divendres", 3284
2023,"10011",5,4,"dissabte", 2291
2023,"10011",5,5,"diumenge", 1589
2023,"10011",6,1,"dilluns", 3093
2023,"10011",6,2,"laborables", 3189
2023,"10011",6,3,"divendres", 3384
2023,"10011",6,4,"dissabte", 2246
2023,"10011",6,5,"diumenge", 1563
2023,"10011",7,1,"dilluns", 3258
2023,"10011",7,2,"laborables", 3392
2023,"10011",7,3,"divendres", 3493
2023,"10011",7,4,"dissabte", 2294
2023,"10011",7,5,"diumenge", 1697
2023,"10011",8,1,"dilluns", 2437
2023,"10011",8,2,"laborables", 2565
2023,"10011",8,3,"divendres", 2518
2023,"10011",8,4,"dissabte", 1852
2023,"10011",8,5,"diumenge", 1393
2023,"10011",9,1,"dilluns", 3058
2023,"10011",9,2,"laborables", 3278
2023,"10011",9,3,"divendres", 3499
2023,"10011",9,4,"dissabte", 2270
2023,"10011",9,5,"diumenge", 1531
2023,"10011",10,1,"dilluns", 3230
2023,"10011",10,2,"laborables", 3329
2023,"10011",10,3,"divendres", 3148
2023,"10011",10,4,"dissabte", 2195
2023,"10011",10,5,"diumenge", 1542
2023,"10011",11,1,"dilluns", 3127
2023,"10011",11,2,"laborables", 3318
2023,"10011",11,3,"divendres", 3377
2023,"10011",11,4,"dissabte", 2302
2023,"10011",11,5,"diumenge", 1619
2023,"10011",12,1,"dilluns", 3293
2023,"10011",12,2,"laborables", 3281
2023,"10011",12,3,"divendres", 3370
2023,"10011",12,4,"dissabte", 2315
2023,"10011",12,5,"diumenge", 1664
2023,"10012",1,1,"dilluns", 6396
2023,"10012",1,2,"laborables", 6610
2023,"10012",1,3,"divendres", 6870
2023,"10012",1,4,"dissabte", 4857
2023,"10012",1,5,"diumenge", 3733
2023,"10012",2,1,"dilluns", 6458
2023,"10012",2,2,"laborables", 6731
2023,"10012",2,3,"divendres", 6768
2023,"10012",2,4,"dissabte", 4780
2023,"10012",2,5,"diumenge", 3785
2023,"10012",3,1,"dilluns", 6643
2023,"10012",3,2,"laborables", 6949
2023,"10012",3,3,"divendres", 7144
2023,"10012",3,4,"dissabte", 5152
2023,"10012",3,5,"diumenge", 4233
2023,"10012",4,1,"dilluns", 6226
2023,"10012",4,2,"laborables", 6265
2023,"10012",4,3,"divendres", 6565
2023,"10012",4,4,"dissabte", 4656
2023,"10012",4,5,"diumenge", 3496
2023,"10012",5,1,"dilluns", 6227
2023,"10012",5,2,"laborables", 6414
2023,"10012",5,3,"divendres", 6464
2023,"10012",5,4,"dissabte", 4833
2023,"10012",5,5,"diumenge", 3991
2023,"10012",6,1,"dilluns", 6425
2023,"10012",6,2,"laborables", 6616
2023,"10012",6,3,"divendres", 6633
2023,"10012",6,4,"dissabte", 5012
2023,"10012",6,5,"diumenge", 3950
